sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode01	read	occurence
Mapped	3807
No mapped	402
total	4209	GC_content,mapped,occurence
49.06,1.0,1.0
49.07,1.0,3.0
49.08,1.0,2.0
49.1,1.0,4.0
49.11,1.0,2.0
49.12,0.0,1.0
49.12,1.0,3.0
49.13,1.0,3.0
49.14,1.0,2.0
49.15,1.0,1.0
49.2,1.0,3.0
49.21,1.0,2.0
49.22,1.0,1.0
49.23,1.0,1.0
49.24,1.0,1.0
49.26,1.0,2.0
49.28,1.0,1.0
49.29,1.0,1.0
49.32,1.0,3.0
49.33,0.0,1.0
49.33,1.0,3.0
49.34,1.0,1.0
49.35,1.0,1.0
49.36,1.0,5.0
49.37,1.0,2.0
49.38,0.0,1.0
49.4,1.0,1.0
49.41,0.0,1.0
49.41,1.0,4.0
49.42,1.0,1.0
49.43,1.0,2.0
49.44,1.0,4.0
49.45,1.0,2.0
49.46,1.0,5.0
49.47,0.0,2.0
49.47,1.0,2.0
49.51,1.0,1.0
49.54,1.0,1.0
49.55,1.0,1.0
49.56,1.0,1.0
49.58,1.0,1.0
49.6,1.0,1.0
49.64,1.0,6.0
49.65,1.0,1.0
49.66,1.0,1.0
49.68,1.0,2.0
49.69,0.0,1.0
49.69,1.0,1.0
49.7,1.0,1.0
49.71,0.0,2.0
49.72,1.0,1.0
49.73,1.0,1.0
49.74,1.0,1.0
49.75,1.0,1.0
49.76,1.0,1.0
49.77,1.0,1.0
49.78,1.0,2.0
49.8,1.0,1.0
49.81,1.0,1.0
49.82,1.0,9.0
49.83,1.0,1.0
49.84,1.0,3.0
49.87,1.0,1.0
50.0,0.0,3.0
50.0,1.0,77.0
50.16,1.0,1.0
50.17,1.0,1.0
50.18,1.0,24.0
50.19,1.0,1.0
50.2,1.0,4.0
50.21,1.0,1.0
50.22,1.0,3.0
50.23,1.0,2.0
50.25,1.0,1.0
50.26,1.0,1.0
50.28,0.0,1.0
50.29,1.0,1.0
50.32,1.0,2.0
50.33,1.0,2.0
50.34,1.0,1.0
50.35,1.0,1.0
50.36,1.0,26.0
50.37,1.0,2.0
50.38,1.0,2.0
50.39,1.0,2.0
50.4,1.0,3.0
50.41,1.0,5.0
50.43,1.0,1.0
50.44,1.0,7.0
50.45,1.0,1.0
50.46,0.0,1.0
50.46,1.0,1.0
50.47,1.0,1.0
